loop,iteration,std_fitness,std_std_fitness,std_bd,std_std_bd
1,1,1.115787,0.04415311632453592,5.553627,0.1249389142514757
2,11,5.923526,0.18079287603845903,29.102434,0.7054960319865734
3,21,9.817253,0.29630570088568986,48.614212,1.4496673738062256
4,31,13.019599,0.4814146584916585,64.97046,2.4072619099308663
5,41,15.958096,0.5902297724319241,79.9538,3.147640711678511
6,51,18.56414,0.7780984789956611,92.45096,4.13039222488422
7,61,20.915462,0.878552567022281,103.93231,4.643436919047782
8,71,23.02371,0.9893024557511216,114.30586,5.2160284602770375
9,81,25.136969,1.0434364683846167,124.77292,5.418915816299787
10,91,27.37053,1.2233447114944507,136.11456,6.195816959938051
11,101,29.017437,1.2689993220501576,144.65985,6.5626062912919
12,111,30.591179,1.387632649600808,153.21922,7.168066719388155
13,121,32.219765,1.4691270920571842,161.38704,7.265805505430486
14,131,33.750824,1.4795157818678932,169.40482,7.478141967782109
15,141,35.087894,1.4986031607058088,176.59967,7.689827550599559
16,151,36.415154,1.6085275307871592,183.44629,8.21045017973558
17,161,37.697384,1.6526268378016848,189.2472,8.35763934437375
18,171,39.174698,1.6549463185880078,196.42923,8.264758706041937
19,181,40.018406,1.6549146692493353,200.90305,8.320186318281582
20,191,41.00015,1.66147153805684,205.6875,8.159681384096805
21,201,41.9802,1.703967671440113,210.9429,8.300209816018867
22,211,43.07261,1.7704732235926535,216.57608,8.783885469368553
23,221,44.01596,1.8354001726490718,221.53032,9.214500256227467
24,231,45.030388,1.864791934264583,226.52658,9.269113220871564
25,241,45.92303,1.882838970166128,231.06586,9.529971478220903
26,251,46.65493,1.831384937437959,234.64836,9.388012650695785
27,261,47.25857,1.8185302380521025,237.91125,9.434317961153097
28,271,48.061573,1.7600000089601588,241.75136,8.96704425797487
29,281,48.716087,1.6881812885857255,245.0627,8.881055629154453
30,291,49.47219,1.6297481254502613,248.31303,8.798522354110604
31,301,50.11054,1.5862967114938369,251.21584,8.512124029122225
32,311,50.86875,1.5724373478714373,254.69917,8.415402842405115
33,321,51.398895,1.5403132954166674,257.4508,8.183383599767522
34,331,52.043404,1.4709562516982495,260.14883,7.983178048064828
35,341,52.575317,1.4970933927136265,262.6496,7.9710374323135635
36,351,53.169765,1.446606780590413,265.31207,7.747180331672672
37,361,53.826317,1.3825844063719788,268.3452,7.542595033086148
38,371,54.367126,1.3986729662977537,271.13605,7.726849516555619
39,381,54.778175,1.369163512674889,273.17468,7.640699168531648
40,391,55.32882,1.3460645616543663,276.32196,7.541291302498794
41,401,55.782955,1.3626979218792419,278.62958,7.507716461433546
42,411,56.157066,1.3943977922608735,280.92023,7.461528051720778
43,421,56.73905,1.398711739745197,283.19598,7.545274563989308
44,431,57.24942,1.3798486818334252,285.38348,7.342250203117851
45,441,57.773586,1.3691396197367156,287.68732,7.2396874156013
46,451,58.13407,1.3432442050966598,289.71466,6.900247564817934
47,461,58.523575,1.287806458601384,292.2483,6.768039362756691
48,471,58.805508,1.322465993696078,294.0491,6.704057716035562
49,481,59.229073,1.3284384027011549,296.40915,6.540923418077918
50,491,59.556038,1.3536431203524208,298.05188,6.644836522160647
51,501,60.047043,1.3034502225869007,300.10333,6.319861831524481
52,511,60.353905,1.264173256797565,301.9173,6.0517861237700705
53,521,60.745453,1.244544580049972,304.2505,5.839312218055817
54,531,61.067314,1.240509621363476,305.80203,5.819518820317023
55,541,61.42749,1.1813777364541111,307.31958,5.553795941449766
56,551,61.856575,1.0606041367421875,309.4436,5.173715435537586
57,561,62.121204,0.9987169444553137,311.084,5.0556727643374995
58,571,62.553093,0.9656911610270855,312.76367,4.978722224396128
59,581,62.800125,0.9356620770677845,314.13483,5.088947520118476
60,591,62.961945,0.885688752404272,315.30212,5.049787753043105
61,601,63.284332,0.858200691367142,316.45538,4.925926794356567
62,611,63.53423,0.8249093615423693,317.59064,4.870650555863765
63,621,63.75801,0.816973680613763,318.69656,4.711130584810404
64,631,63.954586,0.8372229316519231,319.38916,4.648336303287009
65,641,64.24603,0.8003348287234796,320.55286,4.537311488211491
66,651,64.47684,0.7542310882944568,321.49652,4.4324284537774465
67,661,64.75604,0.6820074458961307,322.58365,4.368255375564012
68,671,64.981476,0.6967502628794332,323.62378,4.352510607331817
69,681,65.26564,0.655978083231448,324.24435,4.300390604212593
70,691,65.49061,0.640910984583661,325.77252,4.3712147803813
71,701,65.6284,0.6029440495098689,326.2835,4.194069092184354
72,711,65.81131,0.6594587319668739,326.86423,4.277167444294878
73,721,66.02724,0.6606088089035448,328.2531,4.381397033075177
74,731,66.19037,0.709505861368319,329.24506,4.329830075148916
